input,time
45,143
46,192
47,193
48,198
49,571
50,1352
51,803
52,376
53,2267
54,2268
55,213
56,82
57,85
58,86
59,85
60,100
61,101
62,120
63,16689
64,16832
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,17
14,20
15,21
16,22
17,23
18,24
19,25
20,26
21,27
22,50
23,53
24,54
25,61
26,62
27,63
28,64
29,65
30,66
31,67
32,94
33,121
34,122
35,123
36,350
37,499
38,500
39,501
40,504
41,513
42,516
43,523
44,402
45,419
46,548
47,557
48,710
49,1119
50,1120
51,1203
52,1274
53,1339
54,2044
55,7645
56,154
57,155
58,382
59,5989
60,6180
61,5089
62,32966
63,51427
64,19546
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,28
27,29
28,30
29,31
30,32
31,35
32,36
33,37
34,58
35,67
36,84
37,85
38,86
39,89
40,90
41,93
42,320
43,329
44,694
45,1131
46,1326
47,1713
48,12422
49,12423
50,25894
51,138513
52,767388
53,1403927
54,2265260
55,4140583
56,6379244
57,8484777
58,359098
59,1086337
60,163580
61,16263
62,18400
63,2039
64,2078
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,28
27,41
28,42
29,43
30,44
31,45
32,48
33,51
34,52
35,53
36,54
37,55
38,58
39,71
40,124
41,311
42,320
43,323
44,324
45,327
46,328
47,355
48,356
49,357
50,368
51,387
52,912
53,545
54,548
55,1215
56,182
57,183
58,512
59,821
60,158
61,141
62,142
63,143
64,22118
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,20
19,23
20,24
21,25
22,26
23,39
24,48
25,49
26,52
27,53
28,56
29,65
30,68
31,77
32,78
33,81
34,84
35,87
36,92
37,107
38,128
39,131
40,146
41,147
42,150
43,157
44,162
45,165
46,166
47,205
48,206
49,161
50,440
51,453
52,466
53,1789
54,2284
55,2357
56,2828
57,5625
58,5200
59,5201
60,5202
61,6843
62,108
63,371
64,382
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,50
39,53
40,54
41,105
42,106
43,143
44,218
45,243
46,364
47,367
48,382
